,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,cv_iter
0,ExtraTreesGini,0.9097906403940886,0.863684729575418,0.0664553642272949,0.055222749710083,0.4540915489196777,0.0664553642272949,0.055222749710083,0.4540915489196777,1,True,9,0
1,ExtraTreesEntr,0.9076290537766832,0.848742603550296,0.0724921226501464,0.0559101104736328,0.4594004154205322,0.0724921226501464,0.0559101104736328,0.4594004154205322,1,True,10,0
2,RandomForestEntr,0.9004323173234811,0.8644860116266999,0.0647063255310058,0.0570514202117919,0.4639842510223388,0.0647063255310058,0.0570514202117919,0.4639842510223388,1,True,7,0
3,RandomForestGini,0.8959167179802957,0.8591495380462991,0.0977389812469482,0.0573148727416992,0.4957282543182373,0.0977389812469482,0.0573148727416992,0.4957282543182373,1,True,6,0
4,LightGBM,0.8863531403940886,0.8569673691131182,0.0817806720733642,0.0458817481994628,7.008684873580933,0.0817806720733642,0.0458817481994628,7.008684873580933,1,True,5,0
5,WeightedEnsemble_L2,0.8792333743842365,0.8843342330184436,0.446552038192749,0.2987501621246338,104.16537475585938,0.0159566402435302,0.0029952526092529,3.949981927871704,2,True,14,0
6,XGBoost,0.8792077175697864,0.8430633412920862,0.0688560009002685,0.0189857482910156,4.906124114990234,0.0688560009002685,0.0189857482910156,4.906124114990234,1,True,11,0
7,LightGBMXT,0.871266933497537,0.8695153811550572,0.0598402023315429,0.0269641876220703,4.9984130859375,0.0598402023315429,0.0269641876220703,4.9984130859375,1,True,4,0
8,LightGBMLarge,0.8706126847290641,0.8354852244022285,0.2044541835784912,0.037886619567871,11.20645546913147,0.2044541835784912,0.037886619567871,11.20645546913147,1,True,13,0
9,NeuralNetFastAI,0.855936986863711,0.8309543582822935,0.0398919582366943,0.0239355564117431,1.720365047454834,0.0398919582366943,0.0239355564117431,1.720365047454834,1,True,3,0
10,CatBoost,0.8407738095238096,0.846675057960483,0.0192227363586425,0.022977590560913,77.92345452308655,0.0192227363586425,0.022977590560913,77.92345452308655,1,True,8,0
11,NeuralNetTorch,0.8147962848932676,0.873352019101007,0.0328717231750488,0.016953706741333,8.860791206359863,0.0328717231750488,0.016953706741333,8.860791206359863,1,True,12,0
12,KNeighborsUnif,0.5261314655172414,0.565885714038548,0.007979393005371,0.0133886337280273,0.0102450847625732,0.007979393005371,0.0133886337280273,0.0102450847625732,1,True,1,0
13,KNeighborsDist,0.5261314655172414,0.5644799560538427,0.0149612426757812,0.0100860595703125,0.0060133934020996,0.0149612426757812,0.0100860595703125,0.0060133934020996,1,True,2,0
14,WeightedEnsemble_L2,0.955934421182266,0.9198307034845496,0.3922293186187744,0.264986515045166,20.65872049331665,0.0119574069976806,0.0029900074005126,4.009012937545776,2,True,14,1
15,LightGBM,0.9512905377668308,0.8993023114986677,0.0379045009613037,0.0279252529144287,3.345466375350952,0.0379045009613037,0.0279252529144287,3.345466375350952,1,True,5,1
16,ExtraTreesGini,0.9487184421182264,0.8921102373784561,0.0671107769012451,0.05755615234375,0.4650042057037353,0.0671107769012451,0.05755615234375,0.4650042057037353,1,True,9,1
17,RandomForestGini,0.9435678366174056,0.902952956849718,0.1098911762237548,0.0569581985473632,0.5024652481079102,0.1098911762237548,0.0569581985473632,0.5024652481079102,1,True,6,1
18,ExtraTreesEntr,0.9426698481116584,0.8997845946226514,0.066493272781372,0.0577232837677001,0.4610042572021484,0.066493272781372,0.0577232837677001,0.4610042572021484,1,True,10,1
19,LightGBMXT,0.9391035509031198,0.8839492716010935,0.073909044265747,0.0329124927520751,5.573761701583862,0.073909044265747,0.0329124927520751,5.573761701583862,1,True,4,1
20,XGBoost,0.9368457512315272,0.892896380497595,0.0468742847442626,0.0159573554992675,5.440907716751099,0.0468742847442626,0.0159573554992675,5.440907716751099,1,True,11,1
