,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,cv_iter
0,CatBoost,0.7799999999999999,0.7193813131313131,0.002763032913208008,0.003587961196899414,1.59273099899292,0.002763032913208008,0.003587961196899414,1.59273099899292,1,True,6,0
1,RandomForestEntr,0.7399999999999999,0.6961805555555555,0.020145893096923828,0.01709294319152832,0.20821809768676758,0.020145893096923828,0.01709294319152832,0.20821809768676758,1,True,5,0
2,ExtraTreesEntr,0.7377777777777778,0.6963383838383838,0.021190166473388672,0.017891883850097656,0.20841312408447266,0.021190166473388672,0.017891883850097656,0.20841312408447266,1,True,8,0
3,ExtraTreesGini,0.7372222222222223,0.695391414141414,0.02062702178955078,0.01729583740234375,0.21178507804870605,0.02062702178955078,0.01729583740234375,0.21178507804870605,1,True,7,0
4,RandomForestGini,0.7333333333333334,0.6912878787878788,0.021783113479614258,0.017210960388183594,0.25630903244018555,0.021783113479614258,0.017210960388183594,0.25630903244018555,1,True,4,0
5,LightGBMXT,0.7161111111111111,0.7518939393939394,0.004369020462036133,0.00456690788269043,2.7774910926818848,0.004369020462036133,0.00456690788269043,2.7774910926818848,1,True,2,0
6,XGBoost,0.7122222222222222,0.7967171717171717,0.010302066802978516,0.003195047378540039,2.826941967010498,0.010302066802978516,0.003195047378540039,2.826941967010498,1,True,9,0
7,NeuralNetTorch,0.7105555555555556,0.6957070707070706,0.00407099723815918,0.004197835922241211,0.334226131439209,0.00407099723815918,0.004197835922241211,0.334226131439209,1,True,10,0
8,NeuralNetFastAI,0.706111111111111,0.7140151515151515,0.007033109664916992,0.007044076919555664,1.5324609279632568,0.007033109664916992,0.007044076919555664,1.5324609279632568,1,True,1,0
9,WeightedEnsemble_L2,0.6911111111111111,0.8014520202020202,0.016754150390625,0.007766246795654297,16.729936599731445,0.0007991790771484375,0.0011451244354248047,1.0920488834381104,2,True,12,0
10,LightGBM,0.6549999999999999,0.7492108585858586,0.006791830062866211,0.005708932876586914,4.247063159942627,0.006791830062866211,0.005708932876586914,4.247063159942627,1,True,3,0
11,LightGBMLarge,0.6477777777777778,0.7236426767676768,0.005652904510498047,0.003426074981689453,12.810945749282837,0.005652904510498047,0.003426074981689453,12.810945749282837,1,True,11,0
13,ExtraTreesGini,0.7183333333333334,0.7505523989898991,0.020579099655151367,0.017870187759399414,0.21048402786254883,0.020579099655151367,0.017870187759399414,0.21048402786254883,1,True,7,1
